Released_Year,Runtime,Genre,IMDB_Rating,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,movie_name
1997,134,57.0,8.4,158.0,550.0,698.0,731.0,77.0,343171,2375308,Mononoke-hime
1984,229,110.0,8.4,389.0,441.0,276.0,185.0,735.0,311365,5321508,Once Upon a Time in America
1981,115,0.0,8.4,408.0,216.0,359.0,535.0,365.0,884112,248159971,Raiders of the Lost Ark
1980,146,142.0,8.4,401.0,239.0,601.0,147.0,671.0,898237,44017374,The Shining
1979,147,154.0,8.4,120.0,361.0,433.0,584.0,230.0,606398,83471511,Apocalypse Now
1979,117,175.0,8.4,355.0,486.0,656.0,337.0,744.0,787806,78900000,Alien
1964,95,86.0,8.4,401.0,415.0,217.0,657.0,414.0,450474,275902,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
1957,116,116.0,8.4,42.0,524.0,432.0,101.0,204.0,108862,8175000,Witness for the Prosecution
1954,112,179.0,8.4,17.0,245.0,225.0,719.0,718.0,444074,36764313,Rear Window
1940,125,98.0,8.4,64.0,93.0,522.0,276.0,618.0,203150,288475,The Great Dictator
2019,119,163.0,8.3,379.0,139.0,220.0,143.0,140.0,425844,159227644,1917
2018,139,114.0,8.3,398.0,42.0,628.0,556.0,39.0,71875,1373943,Andhadhun
2012,115,124.0,8.3,428.0,345.0,642.0,37.0,438.0,281623,687185,Jagten
2011,123,124.0,8.3,35.0,409.0,399.0,626.0,677.0,220002,7098492,Jodaeiye Nader az Simin
2010,131,154.0,8.3,96.0,341.0,483.0,463.0,550.0,150023,6857096,Incendies
2009,153,49.0,8.3,341.0,66.0,137.0,182.0,551.0,1267869,120540719,Inglourious Basterds
2004,108,156.0,8.3,293.0,269.0,361.0,691.0,246.0,911664,34400301,Eternal Sunshine of the Spotless Mind
2001,122,108.0,8.3,190.0,41.0,443.0,603.0,461.0,703810,33225499,Amélie
2000,104,87.0,8.3,154.0,256.0,69.0,59.0,164.0,782001,30328156,Snatch
2000,102,124.0,8.3,83.0,161.0,285.0,306.0,496.0,766870,3635482,Requiem for a Dream
1999,122,124.0,8.3,379.0,313.0,37.0,680.0,757.0,1069738,130096601,American Beauty
1997,126,155.0,8.3,152.0,445.0,444.0,55.0,694.0,861606,138433435,Good Will Hunting
1997,89,128.0,8.3,263.0,387.0,21.0,50.0,552.0,65341,933933,Bacheha-Ye aseman
1995,81,61.0,8.3,212.0,516.0,645.0,172.0,345.0,887429,191796233,Toy Story
1995,178,80.0,8.3,284.0,371.0,615.0,533.0,38.0,959181,75600000,Braveheart
